state,month,year,rainfall_mm,pH,turbidity_NTU,dissolved_oxygen_mg_L,total_coliform_MPN,water_temp_C,risk_level,risk_score,primary_disease
Bihar,June,2021,278.8,6.93,14.53,8.4,777,30.43,severe,112.68,Typhoid Fever
Himachal Pradesh,November,2022,64.0,6.89,2.03,6.27,95,15.0,low,23.31,None
Madhya Pradesh,November,2023,153.5,6.99,4.35,6.38,145,17.04,moderate,31.4,None
Manipur,January,2021,24.9,7.65,4.52,6.77,77,18.34,moderate,29.39,None
Madhya Pradesh,December,2020,151.9,7.23,2.74,7.25,175,26.22,moderate,32.14,None
Meghalaya,July,2022,698.9,6.22,15.72,3.98,673,26.08,severe,155.62,Dysentery
Chhattisgarh,November,2022,93.7,7.8,3.19,9.11,92,19.1,low,23.58,None
Assam,October,2020,107.5,7.05,0.73,6.49,94,25.9,low,21.86,None
Odisha,March,2024,37.7,6.7,8.63,6.94,92,25.4,moderate,37.46,Hepatitis A
Gujarat,June,2023,144.6,6.54,2.69,7.12,135,30.72,moderate,33.24,None
Maharashtra,June,2023,146.7,6.86,6.27,7.08,159,25.26,moderate,37.07,None
West Bengal,January,2020,59.4,7.09,4.22,5.63,163,17.78,moderate,37.49,None
Manipur,February,2022,50.2,7.16,3.34,7.7,97,20.04,low,19.5,Giardiasis
Odisha,January,2024,23.0,7.1,3.73,6.89,94,21.15,low,23.98,Dysentery
Himachal Pradesh,October,2022,51.9,7.42,2.68,9.77,87,24.42,low,20.47,None
Bihar,May,2023,28.9,7.72,0.5,8.03,194,20.74,moderate,27.97,None
Goa,December,2024,53.3,7.02,3.09,6.89,97,21.83,low,22.54,None
Kerala,September,2024,401.7,6.7,11.16,8.28,426,30.44,severe,87.77,None
Mizoram,January,2024,27.9,7.23,4.25,6.96,87,16.35,low,24.7,None
Karnataka,August,2024,343.3,7.56,9.33,4.93,402,22.08,severe,97.02,Giardiasis
Sikkim,September,2023,264.2,7.08,4.46,5.04,354,25.96,high,62.9,None
Tripura,April,2022,5.9,7.56,1.31,4.9,104,34.48,moderate,41.36,None
Uttar Pradesh,September,2021,371.7,6.75,13.62,8.95,766,21.11,severe,128.27,Cholera
Arunachal Pradesh,June,2022,212.9,6.4,7.09,9.13,309,28.84,high,55.5,None
Tamil Nadu,May,2020,11.2,7.68,4.69,6.27,103,23.42,moderate,36.84,None
Sikkim,July,2020,394.6,7.12,8.91,5.28,459,25.69,severe,97.64,Hepatitis A
Maharashtra,November,2021,82.5,6.63,4.13,7.84,102,21.16,low,23.54,None
Madhya Pradesh,February,2022,21.4,7.4,3.25,5.95,134,18.42,moderate,34.15,None
Andhra Pradesh,December,2022,138.2,7.07,5.61,7.43,92,20.47,low,24.21,None
Sikkim,March,2024,37.8,6.91,3.18,10.16,90,21.05,low,16.79,None
Himachal Pradesh,January,2020,26.9,7.02,4.21,3.18,120,19.32,moderate,44.72,None
Gujarat,January,2023,31.9,7.43,6.06,5.1,98,19.5,moderate,40.72,None
Uttar Pradesh,June,2024,379.4,6.76,14.02,4.0,753,27.21,severe,155.21,Cholera
Punjab,January,2024,28.6,7.01,1.93,4.67,111,17.49,moderate,31.71,None
Arunachal Pradesh,May,2022,2.7,7.02,3.39,8.86,119,28.49,low,23.12,None
Mizoram,June,2021,182.2,8.02,8.21,7.11,157,26.45,moderate,49.99,Dysentery
Himachal Pradesh,October,2022,152.5,7.1,2.03,6.73,89,20.85,low,20.73,None
Madhya Pradesh,June,2020,277.7,7.14,14.04,4.68,503,28.36,severe,100.56,Cholera
Chhattisgarh,July,2021,330.9,6.5,13.76,6.43,373,27.5,severe,97.7,Hepatitis A
Himachal Pradesh,November,2022,103.0,7.52,6.3,8.32,108,22.48,moderate,29.84,Typhoid Fever
Tripura,July,2021,101.5,7.11,5.71,7.45,159,25.34,moderate,33.84,Hepatitis A
Telangana,March,2024,20.5,7.55,5.21,6.25,86,27.28,moderate,36.91,Dysentery
Chhattisgarh,August,2024,377.6,6.4,9.22,7.04,435,25.43,severe,90.55,Hepatitis A
West Bengal,January,2022,62.7,6.19,1.19,6.79,179,17.31,moderate,34.43,None
Telangana,November,2021,141.2,7.05,4.26,7.8,91,25.35,low,21.79,None
Arunachal Pradesh,October,2020,101.6,7.28,3.27,7.44,103,28.94,moderate,26.91,None
Mizoram,January,2024,63.1,7.3,8.64,8.32,106,17.63,moderate,30.88,Cholera
Sikkim,February,2022,19.6,7.18,1.84,6.13,99,23.71,moderate,26.59,None
Arunachal Pradesh,May,2023,34.9,7.07,6.19,10.84,113,24.74,moderate,26.75,None
Tripura,July,2022,292.7,6.25,11.0,3.44,376,25.96,severe,92.88,None
Tamil Nadu,October,2024,92.3,6.99,4.58,7.33,88,23.03,low,22.92,Hepatitis A
Sikkim,July,2020,377.0,7.07,9.95,5.91,469,22.61,severe,95.11,Hepatitis A
Uttarakhand,April,2024,54.3,7.43,5.26,5.4,102,29.07,moderate,42.55,Giardiasis
Uttar Pradesh,December,2024,129.4,7.89,4.67,9.21,165,19.66,moderate,34.74,None
Andhra Pradesh,March,2022,10.5,6.85,6.98,6.53,97,25.96,moderate,35.49,Giardiasis
Odisha,September,2023,398.4,7.03,9.48,5.49,471,21.93,severe,95.85,Typhoid Fever
Chhattisgarh,January,2023,66.5,7.38,3.23,8.53,96,16.88,low,19.86,None
West Bengal,June,2022,221.8,6.91,11.21,5.41,468,35.0,severe,90.57,Cholera
Assam,March,2020,22.5,7.52,4.5,6.57,105,24.71,moderate,34.2,None
Haryana,December,2022,114.2,6.87,5.83,5.96,106,21.14,moderate,34.33,None
Uttarakhand,April,2021,10.4,6.95,4.96,7.76,105,23.26,low,23.75,None
Assam,January,2023,27.1,7.19,1.93,7.79,112,18.55,low,18.01,None
Tamil Nadu,September,2023,211.5,7.29,5.15,3.89,316,26.66,high,68.68,None
Arunachal Pradesh,February,2023,13.6,7.09,4.94,7.79,112,20.85,low,23.45,None
Arunachal Pradesh,June,2020,275.2,7.74,6.1,5.84,376,29.13,high,72.56,None
Jharkhand,April,2020,30.6,6.86,4.94,5.95,110,27.89,moderate,36.47,None
Assam,January,2022,19.4,6.53,6.01,8.38,109,16.34,moderate,27.62,None
Jharkhand,June,2021,342.6,7.56,12.61,8.83,373,33.86,severe,90.06,None
Andhra Pradesh,February,2024,33.0,6.75,9.56,8.16,88,18.83,moderate,30.42,None
Tripura,May,2023,27.5,6.27,4.96,7.49,98,25.88,moderate,32.51,None
West Bengal,March,2020,26.6,6.74,10.02,7.0,139,26.84,moderate,44.96,Dysentery
Uttar Pradesh,August,2021,343.6,7.3,13.8,6.01,693,19.95,severe,131.82,Dysentery
Madhya Pradesh,June,2020,304.0,6.55,14.17,6.79,533,27.76,severe,115.28,Dysentery
Nagaland,April,2024,54.1,7.42,3.87,6.62,101,27.56,moderate,32.72,Cholera
Karnataka,August,2023,237.2,7.5,6.16,6.33,336,24.23,high,61.39,None
Sikkim,January,2024,46.7,6.79,3.3,5.94,98,16.31,moderate,28.8,None
Meghalaya,September,2021,589.7,7.09,9.35,5.51,564,25.75,severe,109.59,Cholera
Arunachal Pradesh,August,2022,348.5,6.75,12.28,6.26,396,29.24,severe,95.98,None
Madhya Pradesh,October,2020,174.6,7.19,0.72,5.79,117,25.87,moderate,29.03,None
Arunachal Pradesh,January,2021,20.9,7.22,4.06,8.29,91,23.31,low,21.07,None
Nagaland,April,2020,31.9,6.74,4.57,7.9,101,26.25,moderate,25.46,None
Nagaland,October,2020,137.2,7.66,3.39,6.44,82,27.34,moderate,33.05,Typhoid Fever
Punjab,December,2024,153.2,7.87,3.99,5.32,100,23.42,moderate,41.79,None
Sikkim,November,2021,112.3,7.66,5.03,6.82,101,19.64,moderate,32.66,None
Tamil Nadu,August,2023,332.9,6.9,11.43,5.34,393,25.6,severe,95.11,None
Kerala,December,2023,10.0,7.15,4.3,7.67,109,18.26,low,22.65,None
Tripura,January,2022,58.5,7.18,2.99,6.36,105,19.83,moderate,26.48,Typhoid Fever
Himachal Pradesh,September,2022,358.8,7.14,7.68,6.58,442,21.16,severe,82.37,None
Tripura,October,2023,125.0,7.54,2.69,7.2,93,25.29,moderate,26.73,None
Gujarat,March,2021,30.8,7.1,5.04,8.22,111,23.73,low,24.04,None
Mizoram,September,2020,215.0,6.94,9.4,4.64,322,23.11,high,69.95,None
Chhattisgarh,July,2022,485.5,6.42,14.28,8.13,519,27.7,severe,108.13,Typhoid Fever
Karnataka,March,2023,70.5,6.18,6.36,7.41,85,22.09,moderate,33.42,Giardiasis
Telangana,June,2024,315.1,6.85,9.54,7.33,349,25.94,high,74.16,Cholera
Haryana,April,2020,7.1,7.52,1.48,8.58,107,30.95,low,24.33,Giardiasis
Meghalaya,June,2023,457.2,6.25,7.98,6.78,511,28.28,severe,101.76,None
Karnataka,August,2020,285.5,6.59,7.47,6.98,363,31.21,high,66.05,None
Manipur,December,2020,90.0,6.74,7.6,7.26,102,22.58,moderate,32.99,None
Chhattisgarh,June,2022,127.0,6.59,8.05,3.45,141,28.18,high,61.14,Hepatitis A
Madhya Pradesh,November,2024,78.9,6.52,7.68,6.37,110,18.69,moderate,39.31,Cholera
Odisha,April,2024,29.3,6.92,4.51,6.8,88,31.82,moderate,30.53,None
Andhra Pradesh,November,2021,97.1,8.32,1.33,4.58,96,26.57,moderate,45.85,Cholera
Maharashtra,July,2024,55.6,7.19,4.38,8.22,156,20.81,moderate,26.67,None
Chhattisgarh,January,2020,24.7,7.39,3.73,5.85,98,16.74,moderate,31.91,None
Uttar Pradesh,December,2021,108.9,7.58,7.36,7.67,160,20.95,moderate,38.65,None
Chhattisgarh,January,2022,23.3,7.71,4.76,9.6,110,24.23,moderate,29.73,Giardiasis
Odisha,February,2024,69.3,7.39,5.0,7.98,96,22.45,low,24.82,None
Maharashtra,April,2024,6.9,6.93,2.29,5.16,98,30.26,moderate,34.41,Cholera
Bihar,December,2021,118.6,7.53,4.15,6.79,194,17.67,moderate,39.05,None
Kerala,September,2020,333.9,7.03,9.65,7.22,420,24.23,severe,81.14,Hepatitis A
West Bengal,November,2021,156.7,7.57,6.12,8.21,147,22.83,moderate,34.05,None
Punjab,January,2020,36.8,7.23,7.39,4.08,91,18.4,moderate,45.78,Cholera
Himachal Pradesh,January,2020,67.5,6.78,4.68,7.91,104,19.06,low,22.41,Hepatitis A
Kerala,December,2020,208.9,8.0,6.42,6.11,197,18.08,high,51.99,Cholera
Punjab,August,2023,208.3,6.59,5.75,8.52,285,22.14,moderate,45.17,None
Haryana,January,2023,22.2,7.24,4.78,6.81,128,21.37,moderate,31.4,None
West Bengal,October,2024,176.5,6.87,5.61,7.57,145,29.95,moderate,34.14,Hepatitis A
Nagaland,April,2022,0.0,7.48,3.95,7.8,90,34.29,moderate,29.85,None
Maharashtra,June,2022,315.4,6.52,13.04,5.68,375,30.55,severe,102.31,Dysentery
Telangana,June,2024,396.7,7.29,15.67,8.04,459,30.95,severe,102.74,Hepatitis A
Rajasthan,May,2023,8.0,7.64,4.81,5.71,110,32.57,moderate,44.75,None
Uttarakhand,October,2022,161.9,7.51,1.84,7.64,118,24.6,low,24.68,None
Manipur,August,2022,385.0,6.93,14.3,8.45,423,21.97,severe,87.1,Typhoid Fever
Madhya Pradesh,May,2024,35.9,6.72,7.6,8.61,142,27.26,moderate,35.83,None
Jharkhand,July,2022,523.3,7.1,9.84,9.17,537,25.33,severe,92.45,Giardiasis
Assam,October,2023,162.0,7.39,7.16,8.37,104,21.84,moderate,29.54,None
Nagaland,July,2020,445.1,7.16,9.09,5.29,483,27.09,severe,102.21,Hepatitis A
Gujarat,May,2022,5.3,7.48,1.37,7.74,95,30.26,low,23.47,None
Assam,September,2023,447.5,6.36,4.89,5.87,459,23.54,severe,89.4,None
Assam,June,2022,399.4,7.67,5.05,6.19,441,27.5,severe,88.44,None
Rajasthan,November,2020,77.8,8.28,6.07,6.52,82,23.87,moderate,42.47,None
Odisha,May,2023,52.7,6.78,2.2,6.96,112,24.42,moderate,25.21,None
Tripura,February,2022,0.0,7.72,3.3,6.2,95,16.65,moderate,32.3,None
Maharashtra,February,2020,0.0,8.19,5.09,9.69,105,21.79,moderate,33.47,None
Haryana,December,2024,67.5,7.27,4.48,6.71,93,20.17,moderate,27.49,None
Chhattisgarh,September,2023,435.3,7.1,5.78,7.41,474,21.59,severe,76.45,Hepatitis A
Goa,August,2021,566.4,6.65,13.35,6.39,564,29.32,severe,119.17,Cholera
Arunachal Pradesh,November,2022,132.8,7.39,6.26,9.21,108,20.41,moderate,27.42,None
Madhya Pradesh,March,2020,29.0,6.47,6.4,6.14,144,25.2,moderate,44.4,None
Odisha,October,2020,201.6,7.16,6.0,7.46,204,20.18,moderate,36.79,None
Tamil Nadu,February,2021,48.5,6.45,5.89,4.77,98,20.93,moderate,43.7,None
Haryana,March,2022,51.9,6.82,5.5,6.93,92,20.86,moderate,27.78,None
Tripura,January,2022,27.8,7.93,4.19,7.49,94,18.95,moderate,29.63,None
Tripura,August,2024,595.7,6.77,12.06,6.64,583,24.51,severe,112.53,Giardiasis
Chhattisgarh,November,2022,69.6,7.22,2.64,9.94,89,22.87,low,17.81,Giardiasis
Himachal Pradesh,November,2022,116.3,8.1,5.56,7.9,116,22.73,moderate,35.58,Giardiasis
Chhattisgarh,April,2022,51.2,6.84,7.37,7.26,120,32.1,moderate,38.09,None
West Bengal,February,2021,35.8,7.1,6.7,8.43,131,16.29,moderate,27.5,Hepatitis A
Sikkim,October,2020,146.8,8.36,4.99,6.21,99,25.05,moderate,44.95,None
Jharkhand,May,2021,11.8,6.84,6.36,4.81,103,28.48,moderate,44.81,None
Sikkim,May,2022,37.1,7.13,4.55,5.3,93,29.82,moderate,38.11,None
Mizoram,July,2022,264.0,7.15,10.32,7.43,352,23.12,high,61.75,None
Meghalaya,August,2022,552.7,6.31,14.92,8.59,568,21.31,severe,113.03,Cholera
Tripura,June,2022,297.0,7.13,6.04,6.81,355,25.67,high,57.66,None
Goa,February,2020,33.1,6.4,0.95,7.59,104,26.72,low,23.71,None
Chhattisgarh,January,2024,0.2,7.77,5.95,9.06,111,21.04,moderate,31.22,None
Telangana,February,2021,37.6,5.71,2.27,9.83,91,17.34,moderate,26.54,None
Sikkim,March,2023,56.4,6.46,5.87,9.98,101,24.0,moderate,29.24,Dysentery
Uttarakhand,May,2023,27.6,7.12,2.92,8.71,93,27.0,low,19.84,None
Tamil Nadu,June,2020,106.1,7.52,6.48,5.9,186,24.57,moderate,49.54,Hepatitis A
Meghalaya,March,2022,40.2,7.81,4.07,4.59,99,26.0,moderate,46.19,Giardiasis
Sikkim,January,2024,40.7,6.34,5.67,6.85,99,24.24,moderate,35.71,None
Andhra Pradesh,July,2023,269.5,6.74,5.36,7.06,346,23.98,high,54.61,None
Karnataka,September,2022,0.0,6.57,7.06,5.7,163,23.94,moderate,48.19,None
Haryana,October,2022,96.3,7.14,2.28,4.64,104,23.25,moderate,34.78,Cholera
Uttarakhand,May,2020,0.0,7.32,4.9,6.75,84,26.9,moderate,31.1,None
West Bengal,October,2022,178.1,6.67,7.23,7.03,163,23.52,moderate,40.67,None
Tamil Nadu,June,2023,207.7,7.01,7.19,6.88,291,28.64,high,53.5,None
Tripura,March,2022,0.0,6.75,5.73,7.0,109,22.53,moderate,31.12,None
Nagaland,July,2022,379.3,7.27,12.58,7.73,423,26.39,severe,89.65,Giardiasis
Uttarakhand,March,2021,60.3,7.62,3.47,8.09,111,25.55,moderate,27.02,Cholera
Chhattisgarh,November,2020,106.9,6.96,1.77,6.1,108,17.31,low,24.24,Cholera
Uttarakhand,December,2020,150.2,6.93,2.88,4.65,105,19.22,moderate,33.71,Hepatitis A
Chhattisgarh,February,2021,38.1,6.59,1.79,6.94,88,20.84,low,22.2,None
Odisha,April,2021,47.4,7.08,6.27,5.28,97,29.56,moderate,41.42,None
Andhra Pradesh,December,2022,83.2,6.95,2.57,5.86,101,22.19,moderate,27.53,Hepatitis A
Telangana,April,2020,31.8,7.36,2.19,7.46,104,30.73,moderate,26.45,None
West Bengal,March,2020,76.0,7.46,4.17,5.89,137,23.32,moderate,38.85,Hepatitis A
Himachal Pradesh,October,2023,129.5,6.9,1.78,7.83,102,17.89,low,15.61,None
Sikkim,September,2022,214.0,6.51,0.93,5.16,321,29.34,high,57.73,None
Haryana,July,2021,350.3,6.46,10.09,6.65,402,25.11,severe,90.1,None
Chhattisgarh,September,2020,349.6,6.62,6.38,9.58,393,23.83,high,69.33,None
Manipur,April,2022,42.3,7.43,4.98,7.45,110,27.46,moderate,31.74,None
Odisha,April,2020,36.1,7.29,5.03,7.96,92,23.5,low,24.11,Cholera
Gujarat,January,2024,16.7,7.11,4.91,7.94,107,19.36,low,21.92,None
Arunachal Pradesh,February,2020,8.6,7.17,0.83,7.35,113,15.0,low,17.91,None
Tamil Nadu,November,2024,120.9,6.4,5.78,6.23,113,17.64,moderate,37.71,Typhoid Fever
Arunachal Pradesh,November,2021,84.9,6.19,4.7,5.66,94,15.08,moderate,38.6,None
Odisha,October,2022,114.9,6.85,2.32,5.12,95,24.4,moderate,32.24,None
Manipur,September,2021,121.4,8.05,3.94,4.77,123,30.24,high,51.95,None
Himachal Pradesh,September,2021,487.3,6.44,14.84,6.53,489,21.32,severe,110.63,None
Tamil Nadu,May,2022,49.5,8.31,6.29,5.57,88,28.2,high,50.73,None
Assam,April,2021,9.9,6.79,2.43,5.12,91,27.41,moderate,34.16,None
Jharkhand,February,2021,39.2,6.78,0.88,6.17,105,19.53,low,23.61,None
Andhra Pradesh,November,2022,102.4,7.15,1.26,9.61,100,15.0,low,14.02,None
Assam,August,2020,321.7,7.76,7.52,6.32,381,24.32,severe,85.56,None
Manipur,September,2020,342.3,6.02,12.19,7.12,396,22.26,severe,95.17,Hepatitis A
Chhattisgarh,February,2024,33.0,6.89,4.8,2.87,90,20.43,moderate,45.56,None
Jharkhand,March,2024,45.8,6.74,3.2,6.74,106,19.87,moderate,25.9,None
Karnataka,June,2021,283.8,6.69,6.85,8.32,355,30.59,high,57.59,None
Mizoram,February,2024,20.5,7.06,2.85,7.98,99,19.11,low,16.3,None
Madhya Pradesh,January,2023,31.6,6.3,7.96,8.08,148,20.46,moderate,37.95,None
Arunachal Pradesh,November,2021,105.9,7.62,5.47,5.87,95,23.79,moderate,39.19,None
Andhra Pradesh,July,2022,526.6,7.39,12.9,6.45,550,21.19,severe,111.65,Dysentery
Sikkim,October,2023,35.3,8.03,6.12,6.95,89,28.35,moderate,40.86,None
Arunachal Pradesh,January,2020,49.9,6.47,1.04,9.04,104,17.26,low,17.78,None
Assam,April,2021,16.4,7.04,1.93,6.21,111,26.26,moderate,27.44,None
Goa,July,2022,409.3,6.63,12.74,8.14,468,27.99,severe,95.97,None
Chhattisgarh,September,2023,246.4,6.73,9.77,7.43,345,19.85,high,59.59,Dysentery
Goa,August,2022,670.2,7.67,12.41,7.38,643,23.13,severe,120.58,Cholera
West Bengal,March,2024,51.9,6.76,4.38,8.97,156,21.88,moderate,27.7,None
Odisha,September,2024,312.5,5.94,11.58,7.27,375,27.28,severe,94.26,Typhoid Fever
West Bengal,October,2020,152.9,7.61,7.13,8.09,153,23.83,moderate,37.58,None
Bihar,October,2022,92.6,6.85,0.61,7.56,204,24.38,moderate,27.51,Giardiasis
Rajasthan,September,2023,190.4,8.5,5.97,3.35,135,18.5,high,63.69,Cholera
Uttarakhand,November,2024,90.8,7.88,3.51,6.58,103,16.39,moderate,33.22,None
Sikkim,September,2024,227.0,6.32,7.41,6.16,346,26.91,high,68.88,None
Mizoram,July,2023,307.5,7.25,10.4,6.45,406,25.2,severe,89.1,None
West Bengal,February,2024,43.1,7.83,3.11,8.67,164,21.58,moderate,31.71,None
Mizoram,September,2022,284.5,7.14,7.65,4.14,334,30.19,high,74.5,None
West Bengal,May,2022,19.0,6.79,12.19,8.57,147,27.27,moderate,44.81,Hepatitis A
Telangana,November,2023,165.9,7.08,7.73,8.76,93,19.73,moderate,25.56,None
Uttar Pradesh,January,2020,41.3,7.48,8.79,6.93,162,22.77,moderate,45.32,None
Uttarakhand,June,2023,324.2,6.54,8.07,8.23,390,25.41,high,74.93,Dysentery
Odisha,February,2024,36.2,7.9,3.8,8.85,98,24.66,moderate,28.73,None
Karnataka,May,2024,22.3,6.13,4.88,4.43,102,25.76,moderate,49.39,Typhoid Fever
Goa,August,2024,417.8,6.71,14.11,6.18,460,23.18,severe,105.37,None
Haryana,June,2021,424.4,6.58,10.72,5.53,444,27.25,severe,103.22,Dysentery
Nagaland,April,2024,0.0,7.07,4.52,5.95,97,27.71,moderate,33.55,None
Uttarakhand,August,2023,378.1,6.77,10.73,8.71,448,26.21,severe,86.0,None
Haryana,April,2020,50.8,7.67,2.02,5.56,116,25.55,moderate,37.32,None
Madhya Pradesh,December,2020,72.3,7.03,0.5,10.41,127,19.24,low,14.0,None
Uttar Pradesh,July,2022,352.0,7.56,15.8,5.38,745,25.17,severe,152.86,Hepatitis A
Uttar Pradesh,December,2021,138.7,6.78,6.45,6.96,169,23.08,moderate,38.74,Giardiasis
Tamil Nadu,December,2021,156.4,7.04,6.56,8.33,105,22.95,moderate,25.49,None
Bihar,May,2022,62.6,7.16,2.16,6.33,210,24.52,moderate,37.53,None
Himachal Pradesh,June,2023,222.3,7.36,3.61,4.87,298,31.13,high,61.84,None
Rajasthan,April,2020,28.1,8.5,1.07,4.81,86,23.69,moderate,43.54,None
Haryana,January,2023,41.8,6.22,3.74,7.45,109,18.57,moderate,28.93,None
Madhya Pradesh,May,2021,26.8,7.88,4.93,5.82,147,24.25,moderate,46.38,None
Kerala,February,2021,57.8,6.46,6.07,7.96,97,19.15,moderate,27.44,None
Jharkhand,June,2022,324.7,6.84,14.32,7.15,391,24.63,severe,91.09,None
Bihar,March,2022,28.5,7.25,7.8,8.45,150,23.13,moderate,34.66,None
Rajasthan,December,2020,53.6,8.31,3.8,6.59,102,19.76,moderate,37.95,Hepatitis A
Manipur,May,2020,36.6,6.8,6.07,9.03,99,27.12,moderate,27.6,None
Punjab,February,2023,28.1,6.76,8.61,3.95,99,22.62,high,51.08,None
Sikkim,August,2022,245.3,6.79,8.9,7.58,327,27.99,high,58.7,Dysentery
Arunachal Pradesh,February,2020,0.0,8.39,5.17,7.39,107,15.6,moderate,37.99,Giardiasis
Maharashtra,August,2020,155.4,7.36,0.5,6.89,144,20.42,low,24.76,None
Andhra Pradesh,September,2021,69.2,7.41,5.11,6.22,142,15.0,moderate,37.42,None
Gujarat,December,2022,99.5,6.96,3.73,6.33,95,21.78,moderate,26.6,None
Rajasthan,January,2020,21.4,8.2,1.1,6.26,96,15.0,moderate,32.5,None
Tamil Nadu,July,2024,256.8,7.25,11.45,5.32,324,26.85,high,74.62,Hepatitis A
Tamil Nadu,March,2023,58.8,6.81,2.34,7.76,91,25.15,low,19.46,None
Telangana,July,2022,359.4,7.71,12.12,7.16,409,26.15,severe,95.42,None
Telangana,December,2024,106.4,7.27,5.35,7.59,113,15.35,moderate,26.75,None
Bihar,June,2022,353.6,7.22,12.83,7.3,783,24.97,severe,134.57,Cholera
Mizoram,April,2022,39.4,6.61,6.95,7.28,104,25.82,moderate,34.71,None
Nagaland,March,2021,23.4,6.95,6.12,7.82,97,31.33,moderate,29.0,None
Tamil Nadu,October,2020,102.3,6.95,2.43,6.25,98,22.6,moderate,25.21,Cholera
Rajasthan,May,2023,31.9,8.5,0.5,5.36,113,26.12,moderate,43.56,Cholera
Himachal Pradesh,July,2023,353.8,7.03,9.39,10.06,420,24.55,severe,76.03,None
Arunachal Pradesh,June,2023,334.8,5.86,11.91,7.9,379,25.61,severe,91.71,Giardiasis
Chhattisgarh,November,2024,128.3,6.58,3.12,4.04,92,15.0,moderate,39.44,Typhoid Fever
Goa,September,2023,469.7,6.56,11.19,6.86,505,23.95,severe,101.95,Cholera
Rajasthan,April,2020,16.2,8.05,6.05,4.91,75,26.55,moderate,48.83,None
Jharkhand,February,2023,56.6,8.15,0.5,5.62,114,21.85,moderate,36.73,Giardiasis
Uttar Pradesh,June,2022,269.7,5.93,10.37,6.27,607,28.79,severe,105.19,Dysentery
Goa,December,2024,135.5,7.76,3.31,4.74,92,24.05,moderate,41.74,None
Tamil Nadu,June,2024,200.5,7.76,7.69,7.12,288,29.78,high,61.07,None
Gujarat,June,2024,192.4,7.92,5.77,6.98,139,26.83,moderate,43.15,None
Tripura,July,2021,356.8,7.56,10.77,6.69,412,26.67,severe,93.87,None
Goa,May,2020,66.1,7.32,3.32,7.52,111,24.95,moderate,25.82,None
Manipur,January,2023,2.9,6.9,4.94,7.37,95,25.35,moderate,26.2,Hepatitis A
Madhya Pradesh,July,2023,392.8,6.73,11.7,5.72,625,19.78,severe,120.0,Cholera
Haryana,August,2021,349.2,6.53,11.35,8.36,405,21.63,severe,82.46,Dysentery
Uttar Pradesh,December,2020,14.0,6.34,5.6,6.5,172,19.94,moderate,42.5,None
Himachal Pradesh,June,2020,127.8,7.08,1.45,10.73,154,26.85,low,22.53,None
Meghalaya,March,2022,28.1,7.34,5.7,6.13,87,23.01,moderate,34.36,None
Mizoram,April,2021,0.0,6.43,5.65,6.85,104,24.18,moderate,35.24,None
Gujarat,June,2021,248.2,7.2,7.76,5.22,328,30.82,high,69.63,None
Madhya Pradesh,August,2024,287.7,6.4,9.7,7.98,527,26.21,severe,81.3,Dysentery
Himachal Pradesh,December,2024,173.0,7.87,2.73,3.79,88,21.63,moderate,44.83,None
Rajasthan,December,2020,21.4,8.35,3.08,7.7,105,20.63,moderate,31.97,None
Rajasthan,April,2022,34.0,7.75,6.22,4.81,102,28.3,high,50.24,None
Tripura,June,2022,131.4,6.92,1.28,6.21,123,29.23,moderate,29.23,None
Goa,September,2024,435.9,6.66,11.14,9.25,451,23.13,severe,86.81,Dysentery
Manipur,September,2020,454.5,7.3,10.09,7.67,501,26.28,severe,93.68,Cholera
Tripura,December,2023,39.6,6.83,9.32,6.71,99,21.69,moderate,37.54,None
Sikkim,March,2021,48.2,7.4,2.75,8.04,117,27.6,moderate,25.0,Dysentery
Meghalaya,March,2023,69.1,6.95,5.56,3.04,82,26.06,moderate,47.65,None
Himachal Pradesh,July,2023,340.7,6.7,5.35,3.56,393,21.59,severe,91.19,None
Andhra Pradesh,February,2022,23.0,7.28,1.59,8.15,104,18.44,low,16.38,None
Chhattisgarh,March,2023,38.7,7.92,3.77,8.54,99,27.55,moderate,30.41,None
Rajasthan,February,2020,23.7,7.84,1.7,5.16,109,20.56,moderate,37.18,None
Meghalaya,May,2020,28.2,7.46,7.9,4.76,94,26.12,moderate,49.06,None
Karnataka,March,2021,20.6,6.55,2.91,7.16,93,23.58,moderate,25.61,None
Mizoram,April,2022,29.1,7.85,7.07,5.35,108,29.28,high,51.33,None
Assam,January,2020,73.0,6.82,2.85,5.95,106,16.24,moderate,28.35,None
Andhra Pradesh,August,2020,315.9,6.68,10.01,4.46,385,27.86,severe,100.02,Dysentery
Arunachal Pradesh,April,2020,11.9,7.07,3.96,7.87,103,31.36,moderate,25.25,Cholera
Bihar,April,2024,25.2,7.23,6.13,3.3,188,28.21,high,60.97,Giardiasis
Maharashtra,February,2020,4.4,7.38,3.26,9.34,97,19.88,low,20.02,None
Madhya Pradesh,August,2021,384.3,6.88,15.86,4.64,604,23.61,severe,134.31,Cholera
Andhra Pradesh,April,2020,0.0,7.08,3.98,6.4,97,25.71,moderate,29.31,None
Haryana,August,2024,339.0,6.33,13.75,7.84,399,26.99,severe,94.07,None
Telangana,April,2023,20.8,6.92,5.96,7.14,106,26.12,moderate,30.68,None
Karnataka,September,2023,424.0,6.65,7.75,5.01,456,27.57,severe,100.0,Giardiasis
Rajasthan,August,2021,210.8,6.69,13.78,6.25,316,25.43,high,73.72,Hepatitis A
